id,asset_id,name,Reference
19,8,D' Amico and Buratti (2019),"D’Amico, M. and Buratti, N.: Observational Seismic Fragility Curves for Steel Cylindrical Tanks, Journal of Pressure Vessel Technology, 141, 010904, https://doi.org/10.1115/1.4040137, 2019."
20,8,O’Rourke and Sos (2000),"O’Rourke, M. J., & So, P. (2000). Seismic Fragility Curves for On Grade Steel Tanks. Earthquake Spectra, 16(4), 801–815. doi:10.1193/1.1586140 "
21,8,Lanzano et al. (2014),"Lanzano, G.; Salzano, E.; De Magistris, F.S.; Fabbrocino, G. Seismic vulnerability of gas and liquid buried pipelines. J. Loss Prev.Process Ind. 2014, 28, 72–80"
22,8,Eidinger et al. (2001),"Eidinger, J. M., Avila, E. A., Ballantyne, D., Cheng, L., der Kiureghian, A., Maison, B. F., O’Rourke, T. D., and Power, M.: Seismic fragility formulations for water systems. Part 1 - Guideline, American Lifelines Alliance (ALA), American Society of Civil Engineers (ASCE), 2001."
23,8,Shih and Chang (2006),"Shih, B. and Chang, C.: Damage Survey of Water Supply Systems and Fragility Curve of PVC Water Pipelines in the Chi – Chi Taiwan Earthquake, Natural Hazards, 71–85, https://doi.org/10.1007/s11069-005-4657-9, 2006."
24,9,FEMA (2020),"FEMA: Hazus Earthquake Model Technical Manual: Hazus 4.2 SP3, Federal Emergency Management Agency, 436 pp., 2020."
25,10,FEMA (2020),"FEMA: Hazus Earthquake Model Technical Manual: Hazus 4.2 SP3, Federal Emergency Management Agency, 436 pp., 2020."
26,10,ALA (2001),"ALA. 2001. Seismic fragility formulations for water systems. American Lifeline Alliance, ASCE."
27,10,O’Rourke and Sos (2000),"O’Rourke, M. J., & So, P. (2000). Seismic Fragility Curves for On?Grade Steel Tanks. Earthquake Spectra, 16(4), 801–815. doi:10.1193/1.1586140 "
28,10,Di carluccio et al. (2006),"Di Carluccio, A., Iervolino, I., Manfredi, G., Fabbrocino, G., & Salzano, E. (2006). Quantitative probabilistic seismic risk analysis of storage facilities. 2nd International Conference on Safety & Environment in Process Industry CISAP-2, 21-24 May, Naples, Italy"
29,10,"Lanzano et al., 2014","Lanzano, G.; Salzano, E.; De Magistris, F.S.; Fabbrocino, G. Seismic vulnerability of gas and liquid buried pipelines. J. Loss Prev.Process Ind. 2014, 28, 72–80"
30,11,FEMA (2020),"FEMA: Hazus Earthquake Model Technical Manual: Hazus 4.2 SP3, Federal Emergency Management Agency, 436 pp., 2020."
31,12,FEMA (2020),"FEMA: Hazus Earthquake Model Technical Manual: Hazus 4.2 SP3, Federal Emergency Management Agency, 436 pp., 2020."
32,12,Gautam and Rupakhety (2021),"Gautam, D. and Rupakhety, R.: Empirical seismic vulnerability analysis of infrastructure systems in Nepal, Bulletin of Earthquake Engineering, 19, 6113–6127, https://doi.org/10.1007/s10518-021-01219-5, 2021."
33,12,Martin del Campo et al (2021),"Martín del Campo, J. O., Pozos-Estrada, A., and Pozos-Estrada, O.: Development of fragility curves of land-based wind turbines with tuned mass dampers under cyclone and seismic loading, Wind Energy, 24, 737–753, https://doi.org/10.1002/we.2600, 2021."
34,12,Omidvar et al. (2017),"Omidvar, B., Azizi, R., and Abdollahi, Y.: Seismic Risk Assessment of Power Substations, Environmental Energy and Economic Research, 1, 43–60, https://doi.org/10.22097/eeer.2017.46456, 2017."
35,13,FEMA (2020),"FEMA: Hazus Earthquake Model Technical Manual: Hazus 4.2 SP3, Federal Emergency Management Agency, 436 pp., 2020."
